claim_id,topic,claim,evidence_file,metric,estimator,result,status,allowed_wording,forbidden_wording
C1,common reference constraint has a cost,同一权重、同一参考库下，独立选参考（L）优于共同选参考（J）,01_statistics/AGGREGATED_EFFECTS.csv (matching_effect); 01_statistics/MAIN_INFERENCE_RECONCILIATION.csv,macro pooled pixel AP (stride 8),1000 次图像级配对 bootstrap，先在同一复制内跨条件聚合，再取分位数,"MPDD raw 0.00618，聚合均值 0.00637，95% 区间 [0.00337, 0.00977]，12 个条件；BTAD raw 0.00830，聚合均值 0.00844，95% 区间 [0.00665, 0.01086]，8 个条件",verified,在该固定协议下平均为正且区间不含零（两个数据集各自 97.5% 主推断区间同样不含零）,所有类别均改善；全像素统计显著；匹配规则首次被提出；BTAD 为首次未见验证
C2,weight control,把 B 家族有效权重从 1/2 提到 2/3（复制 B）反而变差,01_statistics/AGGREGATED_EFFECTS.csv (weight_control),macro pooled pixel AP (stride 8),同上,"MPDD raw -0.00802，聚合均值 -0.00752，95% 区间 [-0.01150, -0.00358]，12 个条件；BTAD raw -0.00959，聚合均值 -0.00945，95% 区间 [-0.01385, -0.00462]，8 个条件",verified,两个数据集方向为负且区间不含零；说明必须设置复制对照,1/2 是最优权重；任何复制分支都会损失
C3,new visual representation,真实 S 的收益依赖数据集与匹配方式,01_statistics/AGGREGATED_EFFECTS.csv (representation_swap),macro pooled pixel AP (stride 8),同上,"MPDD raw -0.00224，聚合均值 -0.00249，95% 区间 [-0.00968, 0.00478]，12 个条件；MPDD raw 0.00548，聚合均值 0.00514，95% 区间 [-0.00092, 0.01160]，12 个条件；MPDD raw -0.00510，聚合均值 -0.00519，95% 区间 [-0.01135, 0.00123]，12 个条件；MPDD raw 0.00085，聚合均值 0.00097，95% 区间 [-0.00434, 0.00708]，12 个条件；BTAD raw 0.01535，聚合均值 0.01554，95% 区间 [0.00635, 0.02446]，8 个条件；BTAD raw 0.01487，聚合均值 0.01534，95% 区间 [0.00617, 0.02477]，8 个条件；BTAD raw 0.00962，聚合均值 0.00989，95% 区间 [0.00156, 0.01803]，8 个条件；BTAD raw 0.00845，聚合均值 0.00902，95% 区间 [0.00076, 0.01718]，8 个条件",verified,MPDD 四个端点区间均含零；BTAD 四个端点区间均不含零 → 数据集条件性结论,三支总比两支强；三支没有价值；把不显著写成等价
C4,support budget K,匹配效应随 K 变化（K8 相对 K1）,01_statistics/MAIN_INFERENCE_RECONCILIATION.csv,macro pooled pixel AP (stride 8),同一复制内先配对差，再做 K 差,"MPDD +0.002186，97.5% 区间 [−0.002674, +0.006907]（含零）；BTAD −0.002188，[−0.004417, −0.000019]（上界贴近 0）",verified,跨数据集方向不一致、无统一单调规律；BTAD 有减弱信号但尾部精度有限,K 越大匹配冲突越小的统一规律；不显著即完全无影响
C5,category conditions,效应大小依赖类别组成；留一类别不翻转,R/p2_conditions/leave_one_category_out.csv,macro pooled pixel AP (stride 8),共享复制索引下的留一重算,A1_L−A1_J 的留一类别点差在 MPDD 72 项、BTAD 24 项均未翻转,verified,报告每类与留一区间；说明类别构成影响规模,各类别普遍获益；用精选图片代表全体
C6,defect size,按缺陷面积分组的描述性差异,R/p2_conditions/defect_size_contrasts.csv,"subgroup pooled pixel AP (stride 8), point estimate only",无区间,各组类别构成不同，MPDD tiny 组部分宏平均只含 1 类,descriptive_only,描述性附录，说明类别构成,缺陷面积导致收益变化的因果结论
C7,full-pixel robustness,关键效应在全像素点估计上方向保持,00_audit/STRIDE_SENSITIVITY.json; 00_audit/STRIDE_SENSITIVITY.csv,stride-1 point estimates,无区间,180 个对照中 9 个符号相反，1 个达实用尺度（MPDD seed1 K8 的 TRI_J−DUP_J）,verified,主结论方向保持；必须写入该反例,全像素统计显著；所有方向完全一致
C8,external dataset,BTAD 三类完整复核,R/p3_external/; R/p0_support/verification_replay_and_nesting.json,macro pooled pixel AP (stride 8),1000 次配对 bootstrap,24 单元不变量全通过；01/02 与冻结结果重放最大差 6.7e-16,verified,已知数据集上的冻结复核,首次未见数据验证
C9,native baselines,与原生 AnomalyDINO、PatchCore 的实际性能参照,02_baselines/baseline_macro.csv; 02_baselines/baseline_scope.csv,全分辨率像素 AP/AUROC（分辨率与后处理不同，禁止与 stride-8 混排）,不参与因果解释,72/72 条件完成。MPDD：受控 A1_J K1/K4 0.3280/0.3964，原生 AnomalyDINO 0.2884/0.3297，PatchCore 0.1485/0.1800；BTAD 依次为 0.6275/0.6504、0.5631/0.5721、0.2350/0.3358（宏平均像素 AP，跨 seed）,verified,受控 A1 在两个数据集、两个 K 上均不低于原生 AnomalyDINO 与 PatchCore；性能上下文,用旧 MVTec/VisA 分数替代 MPDD/BTAD；stride8 与全分辨率直接排序；声称全面领先
C10,literature,与最相近工作的差别,03_paper/literature_difference_verified.md; 03_paper/draft_CN.md,-,-,结构与核查状态已写入；本轮对 4 篇最近似工作做了原文/摘要级核对,partially_verified,逐条标注核查状态后的具体差别,首次多分支融合；首次独立近邻；无人做过
C11,geometry,共同裁剪画布上的归一化对齐,00_audit/GEOMETRY_BOUNDARY_CHECK.json; 04_recheck/btad03_mask_variants.csv,像素 AP（绝对水平）,点估计,B/S 在裁剪画布上精确对齐（BTAD-03 丢弃右侧 9 px）；C 为近似归一化对齐。用管线忠实掩码重算后，BTAD-03 绝对像素 AP 平均 -0.00667（最大绝对值 0.01356），A1 匹配效应变化 ≤0.0007，故结论不变、绝对水平需按次要口径说明,verified,在裁剪画布上按归一化坐标对齐；C 为近似对齐；BTAD-03 绝对水平存在已量化的保守偏差,原图逐像素严格同位
