variant,dataset,seed,shot,category,method,pixel_ap
identity,btad,0,1,01,A1_J,0.574111732954254
identity,btad,0,1,01,A1_L,0.5855472377320221
identity,btad,0,1,01,DUP_J,0.5631027783479825
identity,btad,0,1,01,DUP_L,0.5712903746057691
identity,btad,0,1,01,TRI_J,0.5471131004925344
identity,btad,0,1,01,TRI_L,0.5596663669962584
identity,btad,0,1,01,BAL_J,0.5592094640324285
identity,btad,0,1,01,BAL_L,0.5755887237038514
identity,btad,0,1,02,A1_J,0.6079011126219415
identity,btad,0,1,02,A1_L,0.6131620439012477
identity,btad,0,1,02,DUP_J,0.5943756050661441
identity,btad,0,1,02,DUP_L,0.5990899752058423
identity,btad,0,1,02,TRI_J,0.646336439371793
identity,btad,0,1,02,TRI_L,0.6516236398718429
identity,btad,0,1,02,BAL_J,0.6501745189083893
identity,btad,0,1,02,BAL_L,0.6560674471992357
identity,btad,0,1,03,A1_J,0.6733423252095107
identity,btad,0,1,03,A1_L,0.6841798670726484
identity,btad,0,1,03,DUP_J,0.669607928386937
identity,btad,0,1,03,DUP_L,0.6770362462282131
identity,btad,0,1,03,TRI_J,0.7040607632932983
identity,btad,0,1,03,TRI_L,0.7098432276299995
identity,btad,0,1,03,BAL_J,0.6968831455834972
identity,btad,0,1,03,BAL_L,0.7017429478944336
identity,btad,0,4,01,A1_J,0.5877759364619586
identity,btad,0,4,01,A1_L,0.597198053798953
identity,btad,0,4,01,DUP_J,0.578238897752695
identity,btad,0,4,01,DUP_L,0.5854883808758571
identity,btad,0,4,01,TRI_J,0.5605525018608318
identity,btad,0,4,01,TRI_L,0.5601934431703933
identity,btad,0,4,01,BAL_J,0.570738606112519
identity,btad,0,4,01,BAL_L,0.5748954939770773
identity,btad,0,4,02,A1_J,0.5954013755140187
identity,btad,0,4,02,A1_L,0.6044364725084369
identity,btad,0,4,02,DUP_J,0.5829989043206629
identity,btad,0,4,02,DUP_L,0.5894210083829211
identity,btad,0,4,02,TRI_J,0.6263733085626099
identity,btad,0,4,02,TRI_L,0.6326399296858196
identity,btad,0,4,02,BAL_J,0.6314941472377273
identity,btad,0,4,02,BAL_L,0.6396790129048041
identity,btad,0,4,03,A1_J,0.7637628467260007
identity,btad,0,4,03,A1_L,0.7790443566024948
identity,btad,0,4,03,DUP_J,0.7643049298418045
identity,btad,0,4,03,DUP_L,0.7723089910949217
identity,btad,0,4,03,TRI_J,0.7700325639886116
identity,btad,0,4,03,TRI_L,0.7766112808466015
identity,btad,0,4,03,BAL_J,0.7610543981612976
identity,btad,0,4,03,BAL_L,0.7728470935487262
identity,btad,1,1,01,A1_J,0.6000957417201311
identity,btad,1,1,01,A1_L,0.6034760570274176
identity,btad,1,1,01,DUP_J,0.5911780285867321
identity,btad,1,1,01,DUP_L,0.5939954963037289
identity,btad,1,1,01,TRI_J,0.5657731605210642
identity,btad,1,1,01,TRI_L,0.5723851862050676
identity,btad,1,1,01,BAL_J,0.5759550197101571
identity,btad,1,1,01,BAL_L,0.583645048499832
identity,btad,1,1,02,A1_J,0.5729596946214882
