method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,41,bracket_white/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,42,bracket_white/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,43,bracket_white/test/scratches/000.png,448,440,436,6,2,434,6,0,0,0.9821428571428571,0.9732142857142857,0.013392857142857142,0.004464285714285714
A1,image,44,bracket_white/test/scratches/001.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,45,bracket_white/test/scratches/002.png,640,626,621,7,2,619,12,0,0,0.978125,0.9703125,0.0109375,0.003125
A1,image,46,bracket_white/test/scratches/003.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,47,bracket_white/test/scratches/004.png,384,382,379,3,0,379,2,0,0,0.9947916666666666,0.9869791666666666,0.0078125,0.0
A1,image,48,bracket_white/test/scratches/005.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,49,bracket_white/test/scratches/006.png,384,378,375,3,0,375,6,0,0,0.984375,0.9765625,0.0078125,0.0
A1,image,50,bracket_white/test/scratches/007.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,51,bracket_white/test/scratches/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,52,bracket_white/test/scratches/009.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
A1,image,53,bracket_white/test/scratches/010.png,448,447,448,0,1,447,0,0,0,0.9977678571428571,1.0,0.0,0.002232142857142857
A1,image,54,bracket_white/test/scratches/011.png,640,639,638,1,0,638,1,0,0,0.9984375,0.996875,0.0015625,0.0
A1,image,55,bracket_white/test/scratches/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,56,bracket_white/test/scratches/013.png,384,379,380,0,1,379,4,0,0,0.9869791666666666,0.9895833333333334,0.0,0.0026041666666666665
A1,image,57,bracket_white/test/scratches/014.png,704,703,701,2,0,701,1,0,0,0.9985795454545454,0.9957386363636364,0.002840909090909091,0.0
A1,image,58,bracket_white/test/scratches/015.png,448,448,447,1,0,447,0,0,0,1.0,0.9977678571428571,0.002232142857142857,0.0
A1,image,59,bracket_white/test/scratches/016.png,384,383,384,0,1,383,0,0,0,0.9973958333333334,1.0,0.0,0.0026041666666666665
A1,aggregate,-1,__ALL__,9984,9930,9914,25,9,9905,45,0,0,0.9945913461538461,0.992988782051282,0.0025040064102564105,0.0009014423076923077
DUP,image,0,bracket_white/test/defective_painting/000.png,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
DUP,image,1,bracket_white/test/defective_painting/001.png,192,189,189,0,0,189,3,0,0,0.984375,0.984375,0.0,0.0
DUP,image,2,bracket_white/test/defective_painting/002.png,192,192,192,0,0,192,0,0,0,1.0,1.0,0.0,0.0
DUP,image,3,bracket_white/test/defective_painting/003.png,128,128,127,1,0,127,0,0,0,1.0,0.9921875,0.0078125,0.0
DUP,image,4,bracket_white/test/defective_painting/004.png,128,125,125,0,0,125,3,0,0,0.9765625,0.9765625,0.0,0.0
DUP,image,5,bracket_white/test/defective_painting/005.png,128,128,128,0,0,128,0,0,0,1.0,1.0,0.0,0.0
DUP,image,6,bracket_white/test/defective_painting/006.png,192,191,190,1,0,190,1,0,0,0.9947916666666666,0.9895833333333334,0.005208333333333333,0.0
DUP,image,7,bracket_white/test/defective_painting/007.png,320,317,317,0,0,317,3,0,0,0.990625,0.990625,0.0,0.0
DUP,image,8,bracket_white/test/defective_painting/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
DUP,image,9,bracket_white/test/defective_painting/009.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
DUP,image,10,bracket_white/test/defective_painting/010.png,128,125,124,1,0,124,3,0,0,0.9765625,0.96875,0.0078125,0.0
DUP,image,11,bracket_white/test/defective_painting/011.png,192,189,189,0,0,189,3,0,0,0.984375,0.984375,0.0,0.0
DUP,image,12,bracket_white/test/defective_painting/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
DUP,image,13,bracket_white/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,14,bracket_white/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,15,bracket_white/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,16,bracket_white/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,17,bracket_white/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,18,bracket_white/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,19,bracket_white/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,20,bracket_white/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,21,bracket_white/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,22,bracket_white/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,23,bracket_white/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,24,bracket_white/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,25,bracket_white/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,26,bracket_white/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,27,bracket_white/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,28,bracket_white/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,29,bracket_white/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,30,bracket_white/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,31,bracket_white/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,32,bracket_white/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,33,bracket_white/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,34,bracket_white/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,35,bracket_white/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,36,bracket_white/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,37,bracket_white/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,38,bracket_white/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,39,bracket_white/test/good/026.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,40,bracket_white/test/good/027.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,41,bracket_white/test/good/028.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,42,bracket_white/test/good/029.png,0,0,0,0,0,0,0,0,0,,,,
DUP,image,43,bracket_white/test/scratches/000.png,448,434,434,4,4,430,10,0,0,0.96875,0.96875,0.008928571428571428,0.008928571428571428
DUP,image,44,bracket_white/test/scratches/001.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
DUP,image,45,bracket_white/test/scratches/002.png,640,622,620,4,2,618,16,0,0,0.971875,0.96875,0.00625,0.003125
DUP,image,46,bracket_white/test/scratches/003.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
DUP,image,47,bracket_white/test/scratches/004.png,384,379,379,0,0,379,5,0,0,0.9869791666666666,0.9869791666666666,0.0,0.0
DUP,image,48,bracket_white/test/scratches/005.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
DUP,image,49,bracket_white/test/scratches/006.png,384,377,375,2,0,375,7,0,0,0.9817708333333334,0.9765625,0.005208333333333333,0.0
DUP,image,50,bracket_white/test/scratches/007.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
DUP,image,51,bracket_white/test/scratches/008.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
DUP,image,52,bracket_white/test/scratches/009.png,384,384,384,0,0,384,0,0,0,1.0,1.0,0.0,0.0
DUP,image,53,bracket_white/test/scratches/010.png,448,448,448,0,0,448,0,0,0,1.0,1.0,0.0,0.0
DUP,image,54,bracket_white/test/scratches/011.png,640,636,637,2,3,634,1,0,0,0.99375,0.9953125,0.003125,0.0046875
DUP,image,55,bracket_white/test/scratches/012.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
DUP,image,56,bracket_white/test/scratches/013.png,384,378,378,0,0,378,6,0,0,0.984375,0.984375,0.0,0.0
DUP,image,57,bracket_white/test/scratches/014.png,704,703,701,2,0,701,1,0,0,0.9985795454545454,0.9957386363636364,0.002840909090909091,0.0
DUP,image,58,bracket_white/test/scratches/015.png,448,448,447,1,0,447,0,0,0,1.0,0.9977678571428571,0.002232142857142857,0.0
DUP,image,59,bracket_white/test/scratches/016.png,384,382,383,0,1,382,1,0,0,0.9947916666666666,0.9973958333333334,0.0,0.0026041666666666665
DUP,aggregate,-1,__ALL__,9984,9911,9903,18,10,9893,63,0,0,0.9926883012820513,0.9918870192307693,0.0018028846153846155,0.001001602564102564
